Description,DescValue
direct,464
supervision,996
latitude,501
exercise,218
independent,713
judgment,473
unreviewed,12
action,453
decision,155
performs,417
technical,1669
work,4284
illustration,2
presentation,69
materials,1103
interprets,8
informational,18
data,3221
graphic,36
form,47
assists,296
design,2378
layout,26
production,277
publication,28
purposes,81
using,650
wide,391
variety,244
art,51
media,382
processes,643
reproduction,10
black,25
white,20
limited,1695
full,267
color,15
methods,238
photostat,2
photo-print,2
slide,10
ozalid,2
offset,2
letter,224
press,239
silk,4
screen,31
others,138
preparation,596
posters,8
informative,10
displays,6
exhibits,10
prepares,233
freehand,4
mechanical,259
means,43
comprehensive,369
layouts,30
paste-ups,2
charted,2
hand,35
lettering,4
illustrations,4
publications,33
exhibition,2
material,143
may,1163
include,2200
pamphlets,6
booklets,4
maps,136
charts,74
graphs,31
occasion,6
supervise,398
artists,12
performance,1183
specific,447
assignment,76
division,1964
economic,349
financial,692
opportunity,209
defo,7
mayor,83
michael,1
r,17
bloomberg,1
sbs,118
committed,143
encouraging,31
competitive,101
diverse,210
business,1431
environment,1064
promoting,199
growth,192
success,86
minority,34
women-owned,23
companies,55
cityâ€™s,671
enterprise,190
m/wbe,107
program,3479
designed,120
help,442
historically,5
underserved,21
groups,395
become,80
job,689
description,114
account,103
manager,974
provide,1981
range,217
supportive,37
services,3481
agency,2592
purchasing,121
personnel,610
private-sector,3
prime,18
contractors,322
comply,83
utilization,123
goals,443
local,402
law,1114
129,1
oversee,597
portfolio,373
several,122
agencies,2039
responsible,2692
monitoring,655
oversight,586
strategies,441
broadly,11
laid,3
increase,167
primary,346
objective,42
number,159
dollar,30
value,49
contracts,980
awarded,21
various,1150
contract,1156
levels,216
specifically,116
seek,42
bring,28
compliance,1531
citywide,697
metrics,212
used,169
measuring,28
procurements,47
sizes,3
respective,73
report,451
director,1688
procurement,968
initiatives,1064
model,120
vendor,301
requirements,1000
needs,1158
well,979
obstacles,14
increasing,105
managers,481
learn,71
procured,14
method,13
frequently,18
get,20
m/wbes,41
participating,118
process,931
leverage,54
contacts,66
directly,319
end,143
users,218
identify,640
create,474
appropriate,881
solutions,516
managerâ€™s,13
responsibilities,1187
following:,479
"1.	research",1
practices,624
order,769
connect,59
firms,65
future,185
opportunities,372
"2.	work",1
senior,855
staff,3444
implement,679
participation,101
"3.	introduce",1
"4.	assist",1
tools,580
improve,558
including,2908
contractor,126
relating,240
subcontractor,19
"5.	inform",1
regular,193
basis,218
"6.	assist",1
implementation,1040
questions,116
arise,70
"7.	produce",1
analysis,1177
"8.	coordinate",3
resources,660
necessary,701
networking,37
events,417
training,1713
sessions,161
etc,236
department,3116
small,176
vibrant,7
client-centered,1
whose,62
mission,596
serve,805
yorkâ€™s,31
businesses,308
jobseekers,5
commercial,85
districts,36
makes,112
easier,1
start,18
operate,337
expand,96
providing,906
assistance,740
owners,128
supporting,298
among,209
preparing,520
yorkers,439
jobs,76
linking,3
employers,49
skilled,84
qualified,128
workforce,244
continues,17
reach,63
higher,52
professional,594
standards,799
innovative,195
systems,2017
approaches,97
government,430
strong,211
focus,167
employees,1122
set,141
offered,29
cost,376
available,184
size,43
stage,19
accessed,3
7,79
centers,170
6,71
career,95
3,256
sector,55
located,270
throughout,607
5,157
boroughs,400
2010,9
provided,170
"10,000",10
customers,113
five,359
executive,593
development,2767
lead,571
efforts,466
acquire,14
utilized,28
existing,553
developing,662
strategy,240
ensuring,595
effective,463
management,3854
internal,755
external,681
sales,29
16,9
teams,398
field,1066
70,9
total,44
also,1287
engaging,65
collaborating,76
marketing,119
team,1667
brand,4
recognition,16
include:,507
develop,1344
execute,125
agencyâ€™s,556
targets,47
coordinate,766
across,551
ensure,2164
efficient,296
usage,49
system-wide,10
manage,1054
meet,510
quarterly,85
annual,262
planning,2063
meetings,1016
check-ins,5
three,160
approximately,423
track,432
analyze,410
system,1978
activities,1473
oracle,89
crm,112
demand,77
collaborate,282
workforce1,17
link,21
activity,137
service,2032
