Skills,SkillsValues
2d,1
animation,7
skills,25
required,1
3d,1
optional,2
proficient,1
adobe,1
cs4,1
cs5,1
software,9
specifically,4
illustrator,1
photoshop,1
indesign,1
acrobat,1
flash,1
mac,1
p.c,1
"â€¢	excellent",1
interpersonal,25
organizational,37
analytic,27
operational,2
writing,29
editing,63
"â€¢	knowledge",1
government,32
procurement,7
processes,107
information,8
systems,36
desirable,44
"â€¢	foreign",1
language,80
plus,11
board,1
certification,9
pediatrics,1
adolescent,19
health,21
effective,11
communication,17
proficiency,1
internet,9
usage,34
computer,1
programs,10
microsoft,1
word,1
excel,1
outlook,1
master's,1
degree,1
public,32
mba,1
graduate,1
potentially,8
acceptable,19
five,14
years,985
track,2
record,8
organization,206
applicable,3
certifications,5
experience,7
with/insights,4
assigned,38
commodities,4
chemicals,4
services,7
biosolids,4
waste,7
excellent,1
research,64
preferred,20
skills/qualifications,1
1,279
knowledge,2
sustainable,3
urban,3
design,36
green,21
infrastructure,1
principles,111
including,869
leed,1
2,281
3,325
construction,1
project,3
management,23
4,176
5,272
fluency,4
autocad,1
suite,1
6,110
powerpoint,1
access,1
7,141
valid,1
state,1
driver,4
license,3
selected,9
candidate,9
must,3
in-depth,8
united,1
states,1
coast,1
guard,1
federal,5
local,6
rules,1
regulations,34
associated,32
marine,8
vessels,1
possess,26
supervisory,23
shipyard,6
maintenance,2
repairs,8
aboard,4
greater,23
3000,4
hp,1
also,25
strong,1
background,7
operations,57
budgeting,2
abs,1
surveys,12
inspections,65
candidates,3
possessing,27
nys,1
commercial,3
associateâ€™s,3
bachelorâ€™s,1
"degree,bilingual",2
english/spanish,1
horticultural,6
desired,28
work,7
flexible,8
hours,23
nights,17
weekends,39
needed,70
leadership,32
high,16
school,25
diploma,5
ged,1
cdl,1
driver's,1
trouble-shooting,7
ability,1
mechanical,14
aptitude,3
analytical,14
trouble-shoot,2
various,171
types,49
vacuum,11
heating,14
equipment,64
steam,4
pneumatic,2
hot,7
water,45
generating,4
heat,7
air,3
pumps,11
maximo,1
order,36
system,1
advanced,1
budget,7
grant,3
understanding,1
contract,16
administrative,1
oral,42
inter-personal,18
written,85
apply,36
position,11
permanent,8
associate,1
chemist,1
civil,25
service,1
list,1
testing,129
drinking,5
samples,18
trace,2
organic,2
contaminants,2
epa-approved,1
gas,13
chromatographic,2
methods,8
preferred:,4
environmental,1
well,213
familiarity,3
demonstrate,2
managing,77
conservation,1
drought,2
projects,115
conservation/drought,1
plan,4
development,1
policy,17
implementation,28
sql,1
server,2
arcgis,1
spss,1
sas,1
statistical,3
analysis,31
packages,20
prior,1
inspection,35
food,2
industry,23
communicative,2
attentive,20
detail,30
creative,11
problem-solver,5
sound,27
judgment,118
decision,22
making,43
problem,11
solving,34
successfully,52
interact,45
staff,6
internal,40
partners,38
solve,41
achieve,48
goals,52
motivating,4
planning,1
provide,27
outstanding,1
customer,1
"4.	ability",1
effectively,56
communicate,16
deal,12
engineers,1
inspectors,3
consultants,27
contractors,32
vendors,27
agencies,89
managerial,62
verbal,64
collaboratively,78
others,60
perform,16
detailed,1
time-sensitive,7
deadlines,318
familiar,1
soil,1
mechanics,10
hydraulic,18
borings,6
survey,3
general,3
engineering,16
skills:,2
cad,1
gis,1
"â€¢	minimum",1
10-Jun,2
program,3
community,32
coordination,24
"â€¢	bachelorâ€™s",1
"â€¢	experience",1
working,3
client,6
tracking,2
"â€¢	long",1
standing,4
region,2
"â€¢	disaster",1
recovery,3
dollar,2
value,23
administering,9
requirement,8
contracts,1
exceptional,1
abilities,35
deputy,1
commissioner,1
requires,39
expected,39
closely,40
agency,1
oversight,33
counterparts,6
focused,25
alignment,6
bureau,1
vision,3
career,5
leader,22
bedc,1
team,42
player,84
capable,1
sustaining,6
culture,17
excellence,11
clients,22
within,224
bureaus,11
dep,1
facilitate,28
extraordinary,6
external,73
partnerships,28
collaboration,64
essential,15
largest,6
significant,8
related,18
nationally,4
locally,4
additional,1
skill,3
requirements,12
include:,8
extensive,6
specific,51
large,324
number,8
technical,52
water/wastewater,3
field,22
process,57
producing,15
quality,2
documents,137
consultant,18
vessel,1
electronic,5
control,3
monitoring,42
programmable,1
logic,4
controller,3
motor,1
controllers,4
switchboards,2
electrical,2
shipboard,2
circuits,4
good,1
law,9
manager,3
office,1
applications,7
following:,246
bachelor's,1
2+,29
full,3
time,52
accounts,5
payable,1
oriented,39
self-motivated,7
personable,2
manage,215
volume,19
workload,11
with:,2
financial,1
fms3,1
infoadvantage,1
crystal,1
reporting,9
accounting,12
bookkeeping,2
best,56
practices,124
orally,31
assist,5
members,50
handle,181
multiple,634
tasks,5
tight,100
online,4
print,10
"â€¢	strong",1
programming/cbt,1
"â€¢	proficient",1
scorm,1
ms,1
"â€¢	previous",1
training,16
administration,1
preparation,57
budgets,30
cost,65
estimates,14
storm,5
water/water,2
compliance,39
ms4,1
permits,8
relevant,8
limited,98
clean,2
act,1
amendments,2
particularly,46
40,32
cfr,1
parts,10
121,2
122,2
123,2
124,2
131,2
136,2
dealing,34
npdes,1
swmp,1
discharge,4
non-point,2
source,6
pollution,10
regulation,2
phase,1
legal,7
mandates,2
plans,113
objectives,38
permit,5
used,20
analyzing,100
residential,5
industrial,3
runoff/discharge,2
use,38
techniques,98
prepare,27
professional,1
correspondence,1
policies,1
resolutions,4
reports,26
procedures,67
publications,5
variety,74
drawings,60
specifications,62
graphic,33
materials,36
studies,1
encompassing,4
raw,2
data,20
pmp,1
principals,14
based,33
geographic,3
aided,1
drafting,18
cadd,1
arcview,1
database,6
minimum,1
designing,31
configuring,13
installing,10
troubleshooting,6
maintaining,48
voice,4
networks,11
performance,3
capacity,3
cisco,1
certified,6
network,1
technology,2
routers,1
switches,3
ios,1
nx-os,1
firewall,1
asa,1
intrusion,1
prevention,5
secure,5
fiber,4
channel,3
ip,1
avaya,1
telephone,41
strongly,130
voip,1
disaster,1
automated,26
failover,1
resilient,1
load,11
balancing,14
security,9
wireless,2
wi-fi,1
holder,4
one,4
sscp,1
cissp,1
ccna,1
ceh,1
security+,1
addition,81
ips/ids,1
next,1
generation,1
firewalls,1
log,14
architecture,1
endpoint,4
encryption,4
methodologies,30
incident,1
response,25
specialist,1
taken,11
passed,5
exam,1
7005,6
considered,29
proof,12
submitted).,5
equivalent,71
3-Feb,14
coalition,4
building,2
independently,353
north,1
central,1
brooklyn,1
neighborhoods,19
brownsville,1
east,1
bushwick,1
bedford-stuyvesant,1
spanish,1
bengali,1
watershed,8
sciences,1
natural,6
resourcesâ€™,2
unwavering,7
ethic,5
lid,1
esd,1
8,76
experienced,6
layout,29
details,48
shop,25
drawing,21
review,37
investigations,115
"1.	excellent",1
"2.	strong",1
attention,1
"3.	familiarity",1
"	good",1
"	strong",1
typing,4
speed,5
accuracy,5
"	familiarity",1
"	experience",1
entering,9
databases,13
questionnaires,5
forms,1
tim,1
#name,1
successful,13
supervising,54
teams,155
call,2
center,2
environment,61
demonstrated,1
coach,1
motivate,7
develop,13
key,7
indicators,4
business,4
drivers,1
telephony,8
application,1
technologies,1
visio,1
trends,27
social,1
media,12
tools,15
focus,1
superior,1
facilitation,8
simultaneously,120
interface,11
executive,2
level,3
